#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATM	CDKN1B	9606.ENSP00000278616	9606.ENSP00000228872	0	0	0	0	0.070	0	0	0.704	0.713
ATM	MDM2	9606.ENSP00000278616	9606.ENSP00000258149	0	0	0	0	0.092	0.621	0.750	0.955	0.995
ATM	TP53	9606.ENSP00000278616	9606.ENSP00000269305	0	0	0	0	0.103	0.928	0.900	0.975	0.999
ATM	CASP2	9606.ENSP00000278616	9606.ENSP00000312664	0	0	0	0	0.103	0	0	0.432	0.469
ATM	PLK3	9606.ENSP00000278616	9606.ENSP00000361275	0	0	0	0	0	0	0	0.470	0.470
ATM	PPP2R5C	9606.ENSP00000278616	9606.ENSP00000412324	0	0	0	0	0.100	0.314	0	0.495	0.661
ATM	CDKN1A	9606.ENSP00000278616	9606.ENSP00000384849	0	0	0	0	0	0	0	0.807	0.807
ATM	PIDD1	9606.ENSP00000278616	9606.ENSP00000337797	0	0	0	0	0.047	0.053	0.750	0.437	0.856
ATM	CHEK2	9606.ENSP00000278616	9606.ENSP00000372023	0	0	0	0	0.044	0.836	0.500	0.999	0.999
CASP2	MDM2	9606.ENSP00000312664	9606.ENSP00000258149	0	0	0	0	0.066	0.311	0	0.458	0.621
CASP2	TP53	9606.ENSP00000312664	9606.ENSP00000269305	0	0	0	0	0.181	0	0	0.759	0.794
CASP2	PIDD1	9606.ENSP00000312664	9606.ENSP00000337797	0	0	0	0	0	0.660	0.800	0.998	0.999
CASP2	CRADD	9606.ENSP00000312664	9606.ENSP00000439068	0	0	0	0	0	0.895	0.500	0.999	0.999
CDKN1A	CDKN1B	9606.ENSP00000384849	9606.ENSP00000228872	0	0	0	0.732	0	0.642	0.900	0.555	0.982
CDKN1A	MDM2	9606.ENSP00000384849	9606.ENSP00000258149	0	0	0	0	0.072	0.848	0	0.873	0.980
CDKN1A	TP53	9606.ENSP00000384849	9606.ENSP00000269305	0	0	0	0	0	0.925	0.900	0.960	0.999
CDKN1A	PLK2	9606.ENSP00000384849	9606.ENSP00000274289	0	0	0	0	0.084	0	0	0.372	0.400
CDKN1A	PIDD1	9606.ENSP00000384849	9606.ENSP00000337797	0	0	0	0	0.062	0.087	0	0.374	0.418
